month,region,cases,deaths
1,Midwest,453597.0,7053.0
1,Northeast,385739.0,11488.0
1,South,531540.0,8057.0
1,West,420494.0,5172.0
2,Midwest,500143.0,8414.0
2,Northeast,472928.0,13118.0
2,South,636978.0,10134.0
2,West,492314.0,6858.0
3,Midwest,527841.0,9139.0
3,Northeast,528948.0,14043.0
3,South,683610.0,11458.0
3,West,516264.0,7874.0
4,Midwest,567069.0,9508.0
4,Northeast,593565.0,14659.0
4,South,719784.0,12216.0
4,West,534766.0,8352.0
5,Midwest,598008.0,9925.0
5,Northeast,628979.0,15128.0
5,South,748309.0,12686.0
5,West,552224.0,8623.0
6,Midwest,608492.0,10243.0
6,Northeast,638114.0,15364.0
6,South,759647.0,13056.0
6,West,562886.0,8786.0
7,Midwest,616892.0,10400.0
7,Northeast,643017.0,15450.0
7,South,779117.0,13271.0
7,West,580619.0,8932.0
8,Midwest,648097.0,10593.0
8,Northeast,666268.0,15560.0
8,South,878721.0,13845.0
8,West,626481.0,9152.0
9,Midwest,710409.0,11033.0
9,Northeast,711565.0,15853.0
9,South,1024804.0,15556.0
9,West,692839.0,9692.0
10,Midwest,774748.0,11725.0
10,Northeast,760973.0,16329.0
10,South,1103329.0,17509.0
10,West,745977.0,10404.0
11,Midwest,837793.0,12530.0
11,Northeast,810594.0,16827.0
11,South,1137350.0,18580.0
11,West,793804.0,11062.0
12,Midwest,938311.0,13540.0
12,Northeast,914487.0,17464.0
12,South,1184684.0,19269.0
12,West,840834.0,11697.0
